Price,Close,Volume,SMA_50,EMA_50,RSI_14,Volatility
Ticker,AAPL,AAPL,,,,
Date,,,,,,
2023-07-06,189.15814208984375,45094300,175.65400665283204,176.53873796973514,68.8218799649048,7.915157240232502
2023-07-07,188.0437469482422,46815000,176.18922668457031,176.9899147924217,61.704231611325554,7.827848613793547
2023-07-10,186.0023956298828,59922200,176.68381683349608,177.3433454134986,58.81512793273911,7.64526749949894
2023-07-11,185.479736328125,46638100,177.07636657714843,177.66241956701336,57.183020680756975,7.581389967222922
2023-07-12,187.14637756347656,60750200,177.47723510742188,178.0343394884433,63.19864576640314,7.57317707974269
2023-07-13,187.9056854248047,41342300,177.89506256103516,178.4214510937908,58.96653676002596,7.5604345863215485
2023-07-14,188.05364990234375,41616200,178.33652954101564,178.79918438040073,60.24535046169246,7.49467713462126
2023-07-17,191.30804443359375,50520200,178.86455322265624,179.28972791189852,70.3169386772183,7.4591442523762375
2023-07-18,191.05162048339844,48288200,179.42014495849608,179.75097860097696,64.97624738034597,7.307064865034014
2023-07-19,192.40264892578125,80507300,179.8495199584961,180.247122535283,65.30607452988684,7.427991108033886
2023-07-20,190.4599151611328,59581200,180.24141906738282,180.64762420688496,58.53435818394641,7.46113256871989
2023-07-21,189.28636169433594,71951700,180.64392120361327,180.9863982260007,44.21654094504572,7.393732883226833
2023-07-24,190.08514404296875,45377800,181.0271432495117,181.34321178745043,50.860459628047835,7.376209256413346
2023-07-25,190.94309997558594,37283200,181.4237826538086,181.71967799090672,56.90171189278169,7.365317816212977
2023-07-26,191.8109588623047,47471900,181.856318359375,182.11541449566744,57.91646896933589,7.326716112787749
2023-07-27,190.54864501953125,47460200,182.2734698486328,182.44612941817192,57.409639152410335,7.212828991948081
2023-07-28,193.12257385253906,48291400,182.74209991455078,182.8648135136373,70.41856866808558,7.139464594482536
2023-07-31,193.73399353027344,38824100,183.21072967529298,183.29105586723088,73.55088016871098,7.074996651554335
2023-08-01,192.90562438964844,35175100,183.61624450683593,183.6680977700708,67.25768516079947,7.0371287231084025
2023-08-02,189.91749572753906,50389300,183.95982788085936,183.91317219977543,55.31806931891152,6.91347701012017
2023-08-03,188.52699279785156,61235200,184.29453552246093,184.09410634087644,51.17411726411488,6.714595859534822
